#r	A[r]	V(A[r])	P[r]
1	227105	3.89154e+11	1.3394e+06
2	374758	6.05738e+11	1.35968e+06
3	483237	7.47685e+11	1.37444e+06
4	569201	8.50912e+11	1.38633e+06
5	640935	9.31447e+11	1.39642e+06
6	703032	9.97433e+11	1.40527e+06
7	758242	1.05342e+12	1.41318e+06
8	808309	1.10215e+12	1.42037e+06
9	854395	1.14536e+12	1.42696e+06
10	897298	1.18423e+12	1.43306e+06
11	937592	1.21959e+12	1.43874e+06
12	975696	1.25203e+12	1.44406e+06
13	1.01193e+06	1.28202e+12	1.44905e+06
14	1.04653e+06	1.30988e+12	1.45376e+06
15	1.0797e+06	1.33591e+12	1.45822e+06
16	1.1116e+06	1.36034e+12	1.46245e+06
17	1.14235e+06	1.38333e+12	1.46648e+06
18	1.17206e+06	1.40506e+12	1.47031e+06
19	1.20082e+06	1.42566e+12	1.47397e+06
20	1.22872e+06	1.44523e+12	1.47747e+06
21	1.25582e+06	1.46387e+12	1.48083e+06
22	1.28219e+06	1.48167e+12	1.48404e+06
23	1.30788e+06	1.4987e+12	1.48713e+06
24	1.33294e+06	1.51503e+12	1.4901e+06
25	1.35741e+06	1.53071e+12	1.49296e+06
26	1.38134e+06	1.54579e+12	1.49571e+06
27	1.40477e+06	1.56032e+12	1.49837e+06
28	1.42772e+06	1.57433e+12	1.50093e+06
29	1.45024e+06	1.58785e+12	1.50341e+06
30	1.47234e+06	1.60092e+12	1.50581e+06
31	1.49406e+06	1.61357e+12	1.50812e+06
32	1.51542e+06	1.62581e+12	1.51036e+06
33	1.53644e+06	1.63767e+12	1.51253e+06
34	1.55714e+06	1.64917e+12	1.51464e+06
35	1.57755e+06	1.66031e+12	1.51668e+06
36	1.59767e+06	1.67112e+12	1.51865e+06
37	1.61754e+06	1.68161e+12	1.52057e+06
38	1.63715e+06	1.69179e+12	1.52243e+06
39	1.65653e+06	1.70167e+12	1.52424e+06
40	1.67568e+06	1.71125e+12	1.526e+06
41	1.69463e+06	1.72056e+12	1.5277e+06
42	1.71337e+06	1.72959e+12	1.52936e+06
43	1.73192e+06	1.73834e+12	1.53097e+06
44	1.75029e+06	1.74684e+12	1.53253e+06
45	1.76849e+06	1.75508e+12	1.53405e+06
46	1.78652e+06	1.76307e+12	1.53553e+06
47	1.80439e+06	1.77081e+12	1.53697e+06
48	1.82211e+06	1.77831e+12	1.53836e+06
49	1.83968e+06	1.78557e+12	1.53972e+06
50	1.85711e+06	1.79259e+12	1.54104e+06
51	1.87441e+06	1.79939e+12	1.54233e+06
52	1.89156e+06	1.80596e+12	1.54357e+06
53	1.90859e+06	1.81231e+12	1.54479e+06
54	1.9255e+06	1.81844e+12	1.54596e+06
55	1.94227e+06	1.82435e+12	1.54711e+06
56	1.95893e+06	1.83006e+12	1.54822e+06
57	1.97548e+06	1.83555e+12	1.5493e+06
58	1.9919e+06	1.84084e+12	1.55035e+06
59	2.00822e+06	1.84594e+12	1.55137e+06
60	2.02442e+06	1.85083e+12	1.55236e+06
61	2.04051e+06	1.85553e+12	1.55332e+06
62	2.0565e+06	1.86005e+12	1.55425e+06
63	2.07237e+06	1.86438e+12	1.55515e+06
64	2.08815e+06	1.86852e+12	1.55603e+06
65	2.10381e+06	1.87249e+12	1.55687e+06
66	2.11938e+06	1.87629e+12	1.55769e+06
67	2.13484e+06	1.87991e+12	1.55849e+06
68	2.1502e+06	1.88337e+12	1.55925e+06
69	2.16546e+06	1.88667e+12	1.55999e+06
70	2.18062e+06	1.88982e+12	1.5607e+06
71	2.19567e+06	1.89281e+12	1.56139e+06
72	2.21063e+06	1.89565e+12	1.56206e+06
73	2.22549e+06	1.89834e+12	1.56269e+06
74	2.24026e+06	1.90089e+12	1.56331e+06
75	2.25492e+06	1.90331e+12	1.56389e+06
76	2.26949e+06	1.9056e+12	1.56446e+06
77	2.28396e+06	1.90776e+12	1.565e+06
78	2.29834e+06	1.90979e+12	1.56551e+06
79	2.31262e+06	1.91171e+12	1.566e+06
80	2.3268e+06	1.91351e+12	1.56647e+06
81	2.3409e+06	1.9152e+12	1.56691e+06
82	2.35489e+06	1.91678e+12	1.56732e+06
83	2.3688e+06	1.91827e+12	1.56772e+06
84	2.38262e+06	1.91965e+12	1.56809e+06
85	2.39634e+06	1.92094e+12	1.56843e+06
86	2.40997e+06	1.92214e+12	1.56875e+06
87	2.42352e+06	1.92325e+12	1.56904e+06
88	2.43697e+06	1.92428e+12	1.56931e+06
89	2.45034e+06	1.92523e+12	1.56956e+06
