#r	f(r)	theta
1	5.013e+03	5.013e+03
2	1.889e+03	3.778e+03
3	1.245e+03	3.735e+03
4	9.530e+02	3.812e+03
5	8.100e+02	4.050e+03
6	6.810e+02	4.086e+03
7	5.630e+02	3.941e+03
8	4.510e+02	3.608e+03
9	4.050e+02	3.645e+03
10	3.770e+02	3.770e+03
11	3.520e+02	3.872e+03
12	2.850e+02	3.420e+03
13	2.640e+02	3.432e+03
14	3.050e+02	4.270e+03
15	2.360e+02	3.540e+03
16	2.880e+02	4.608e+03
17	1.990e+02	3.383e+03
18	2.090e+02	3.762e+03
19	1.800e+02	3.420e+03
20	1.960e+02	3.920e+03
21	1.880e+02	3.948e+03
22	2.030e+02	4.466e+03
23	1.390e+02	3.197e+03
24	1.930e+02	4.632e+03
25	1.710e+02	4.275e+03
26	1.630e+02	4.238e+03
27	1.380e+02	3.726e+03
28	1.410e+02	3.948e+03
29	1.530e+02	4.437e+03
