#Time	LowerQ	Median	UpperQ
0	1590	25500	130000
0.0046	1590	25500	130000
0.00952	8120	25500	130000
1.04	11100	25600	130000
1.56	11600	25600	130000
5.48	11600	25600	130000
6.36	11600	25600	130000
7.29	12600	25600	130000
8.23	13000	25600	130000
10.7	14800	25600	130000
13.7	15300	25600	130000
13.8	15500	25600	130000
36.7	16600	25600	130000
38	16900	25600	130000
38.5	17700	25600	130000
40.2	18000	25600	130000
43.4	18200	25600	130000
62.8	18300	25600	130000
66.6	18400	25600	130000
71	19100	25600	130000
71.5	19400	25600	130000
77	19500	25600	130000
77.3	20900	25600	130000
82.7	21500	25600	130000
92.1	21700	25600	130000
93.8	21800	25600	130000
97.4	21800	25600	130000
99.6	21900	25600	130000
106	21900	25600	130000
110	22000	25600	130000
120	22100	25600	130000
123	22200	25600	130000
141	22200	25600	130000
170	22200	25600	130000
195	22200	25600	130000
219	22200	25600	130000
220	22200	25600	130000
223	22200	25600	130000
225	22200	25600	130000
226	22200	25600	130000
228	22200	25600	130000
230	22200	25600	130000
231	22200	25600	130000
233	22200	25600	130000
235	22200	25600	130000
238	22200	25600	130000
240	22200	25600	130000
243	22200	25600	130000
249	22200	25600	130000
252	22200	25600	130000
255	22200	25600	130000
259	22200	25600	130000
261	22200	25600	130000
265	22200	25600	130000
266	22200	25500	130000
268	22200	25600	130000
272	22200	25500	130000
274	22200	25500	130000
278	22200	25500	130000
285	22200	25500	130000
289	22200	25500	130000
293	22200	25500	130000
294	22200	25500	130000
299	22200	25500	130000
303	22200	25500	130000
305	22100	25500	130000
306	22100	25500	130000
315	22100	25500	130000
318	22100	25500	130000
324	22200	25500	130000
335	22200	25500	130000
340	22200	25500	130000
346	22200	25500	130000
348	22300	25500	130000
350	22200	25500	130000
352	22200	25500	130000
361	22200	25500	130000
366	22200	25500	130000
369	22200	25500	130000
373	22100	25500	130000
377	22200	25500	130000
383	22200	25500	130000
386	22100	25500	130000
393	22100	25500	130000
395	22200	25500	130000
397	22100	25500	130000
398	22100	25500	130000
406	22100	25500	130000
408	22100	25500	130000
416	22100	25500	130000
432	22100	25500	130000
433	22000	25500	130000
442	22000	25500	130000
453	22000	25500	130000
462	21900	25500	130000
464	21900	25500	130000
473	21900	25500	130000
475	21900	25500	130000
487	21900	25500	130000
499	21800	25500	130000
501	21800	25500	130000
503	21800	25400	130000
507	21800	25400	130000
509	21800	25400	130000
511	21800	25400	130000
512	21800	25400	130000
517	21800	25400	130000
518	21800	25400	130000
519	21800	25400	130000
521	21800	25400	130000
524	21800	25400	130000
534	21700	25400	130000
539	21500	25400	130000
549	21500	25400	130000
571	21500	25400	130000
595	21500	25400	130000
596	21500	25400	130000
599	21100	25400	130000
602	21000	25400	47700
603	21000	25400	36200
613	21000	25400	35800
618	21000	25400	35800
676	21000	25400	35300
686	20900	25400	33600
690	20800	25400	32800
693	20800	25400	32800
710	20500	25400	31500
712	20200	25400	30900
738	20000	25400	30500
742	20200	25400	30500
744	20200	25400	29900
747	20200	25400	29900
765	20000	25400	29900
