#Time	LowerQ	Median	UpperQ	Lines
0	347000	389000	1.07e+07	1000
1060	347000	389000	1.07e+07	1000
1080	347000	389000	1.07e+07	1000
1090	347000	389000	1.07e+07	1000
1100	346000	389000	1.07e+07	1000
1230	346000	389000	1.07e+07	1000
1240	346000	389000	1.07e+07	1000
1270	346000	389000	1.07e+07	1000
1290	346000	389000	1.07e+07	1000
1320	346000	388000	1.07e+07	1000
1370	345000	388000	1.07e+07	1000
1390	345000	388000	1.07e+07	1000
1400	345000	388000	1.07e+07	1000
1420	345000	388000	1.07e+07	1000
1450	345000	388000	1.07e+07	1000
1500	344000	388000	1.07e+07	1000
1520	344000	388000	1.07e+07	1000
1530	344000	388000	1.07e+07	1000
1580	344000	388000	1.07e+07	1000
1630	344000	388000	1.07e+07	1000
1660	343000	388000	1.07e+07	1000
1680	343000	388000	1.07e+07	1000
1690	343000	388000	1.07e+07	1000
1730	343000	388000	1.07e+07	1000
1770	341000	387000	1.07e+07	1000
1780	341000	387000	1.07e+07	1000
1810	340000	387000	1.07e+07	1000
1870	340000	387000	1.07e+07	1000
1890	340000	387000	1.07e+07	1000
1900	338000	387000	1.07e+07	1000
1910	337000	387000	1.07e+07	1000
1980	337000	387000	1.07e+07	1000
2000	336000	387000	1.07e+07	1000
2030	336000	387000	1.07e+07	1000
2050	334000	387000	1.07e+07	1000
2070	334000	387000	1.07e+07	1000
2120	333000	387000	2e+06	1000
2150	331000	387000	1.32e+06	1000
2280	330000	387000	887000	1000
2290	327000	387000	713000	1000
2320	326000	386000	690000	1000
2340	324000	386000	580000	1000
2450	322000	386000	564000	1000
2490	321000	386000	521000	1000
2540	320000	386000	502000	1000
2570	319000	386000	500000	1000
2750	318000	386000	497000	1000
2800	317000	386000	492000	1000
2820	313000	386000	477000	1000
2890	312000	386000	463000	1000
3210	309000	386000	462000	1000
3220	307000	386000	460000	1000
3250	307000	386000	440000	1000
3270	305000	386000	439000	1000
3300	305000	386000	435000	1000
3360	305000	386000	432000	1000
3450	304000	386000	432000	1000
3600	302000	385000	432000	1000
3620	301000	385000	431000	1000
3780	300000	385000	430000	1000
4340	296000	385000	429000	1000
4370	295000	385000	428000	1000
4450	293000	385000	428000	1000
4780	295000	385000	428000	1000
5980	293000	385000	428000	1000
6390	293000	385000	427000	1000
6670	291000	385000	427000	1000
7690	290000	385000	427000	1000
10200	288000	385000	426000	1000
11400	290000	385000	427000	1000
11700	291000	385000	427000	1000
11800	290000	385000	427000	1000
12200	288000	385000	426000	1000
14600	284000	385000	426000	1000
14900	279000	385000	425000	1000
15600	284000	385000	426000	1000
15700	279000	385000	425000	1000
16300	274000	385000	425000	1000
18000	279000	385000	425000	1000
18500	274000	385000	425000	1000
19000	279000	385000	425000	1000
21500	274000	385000	425000	1000
22100	279000	385000	426000	1000
22300	284000	385000	426000	1000
22800	288000	385000	427000	1000
24700	290000	385000	428000	1000
24800	291000	385000	428000	1000
24900	290000	385000	428000	1000
25100	291000	385000	428000	1000
28500	293000	385000	429000	1000
29200	293000	385000	430000	1000
29500	291000	385000	429000	1000
29600	293000	385000	430000	1000
30000	295000	385000	431000	1000
31400	296000	385000	432000	1000
31600	300000	385000	432000	1000
31800	301000	386000	432000	1000
33800	302000	386000	435000	1000
34100	304000	386000	437000	1000
34400	305000	386000	439000	1000
34800	305000	386000	440000	1000
35300	309000	386000	874000	1000
35900	309000	386000	1.06e+06	1000
36900	312000	386000	1.06e+06	1000
38200	312000	386000	1.06e+06	1000
38300	313000	386000	1.07e+06	1000
38700	317000	386000	1.09e+06	1000
39100	318000	386000	1.09e+06	1000
39500	318000	386000	1.09e+06	1000
39800	318000	386000	1.09e+06	1000
40100	320000	387000	1.09e+06	1000
40200	321000	387000	1.09e+06	1000
40400	322000	387000	1.09e+06	1000
40600	324000	387000	1.09e+06	1000
41200	324000	387000	1.09e+06	1000
41300	327000	387000	1.1e+06	1000
41600	331000	387000	1.1e+06	1000
41700	331000	387000	1.1e+06	1000
41800	333000	387000	1.1e+06	1000
42000	333000	387000	1.1e+06	1000
42100	333000	387000	1.1e+06	1000
42200	333000	387000	1.11e+06	1000
42300	334000	388000	1.11e+06	1000
42400	336000	388000	1.11e+06	1000
43200	336000	388000	1.11e+06	1000
43300	336000	388000	1.11e+06	1000
43400	336000	388000	1.11e+06	1000
43500	337000	388000	1.12e+06	1000
43600	337000	388000	1.12e+06	1000
43800	340000	388000	1.12e+06	1000
44100	340000	389000	1.12e+06	1000
44200	340000	389000	1.12e+06	1000
44300	341000	389000	1.12e+06	1000
44500	341000	389000	1.12e+06	1000
44600	341000	389000	1.12e+06	1000
44700	341000	390000	1.12e+06	1000
44900	343000	390000	1.12e+06	1000
45100	343000	390000	1.12e+06	1000
45200	347000	390000	1.12e+06	1000
45300	347000	390000	1.12e+06	1000
45400	347000	390000	1.12e+06	1000
45500	347000	391000	1.12e+06	1000
45600	347000	391000	1.12e+06	1000
45700	348000	391000	1.12e+06	1000
45900	348000	391000	1.12e+06	1000
46000	349000	391000	1.12e+06	1000
46100	349000	392000	1.12e+06	1000
46200	349000	392000	1.12e+06	1000
46300	349000	392000	1.12e+06	1000
46400	349000	392000	1.12e+06	1000
46500	349000	392000	1.12e+06	1000
46700	349000	392000	1.12e+06	1000
46800	350000	392000	1.12e+06	1000
46900	351000	393000	1.12e+06	1000
47000	353000	393000	1.12e+06	1000
47100	353000	393000	1.12e+06	1000
47200	353000	393000	1.12e+06	1000
47300	354000	393000	1.12e+06	1000
47400	354000	394000	1.12e+06	1000
47500	354000	394000	1.12e+06	1000
47600	354000	394000	1.12e+06	1000
47700	354000	394000	1.12e+06	1000
47800	354000	394000	1.12e+06	1000
47900	354000	394000	1.12e+06	1000
48000	354000	394000	1.12e+06	1000
48100	354000	395000	1.12e+06	1000
48200	354000	395000	1.12e+06	1000
48300	354000	395000	1.12e+06	1000
48400	356000	395000	1.12e+06	1000
48500	356000	395000	1.12e+06	1000
48600	357000	396000	1.12e+06	1000
48700	358000	396000	1.12e+06	1000
48800	358000	396000	1.12e+06	1000
48900	358000	396000	1.12e+06	1000
49000	358000	396000	1.12e+06	1000
49100	358000	397000	1.12e+06	1000
49200	358000	397000	1.12e+06	1000
49300	358000	397000	1.12e+06	1000
49400	358000	397000	1.12e+06	1000
49500	358000	398000	1.12e+06	1000
49600	359000	398000	1.12e+06	1000
49700	359000	399000	1.12e+06	1000
49800	359000	399000	1.12e+06	1000
49900	360000	399000	1.12e+06	1000
50000	360000	399000	1.12e+06	1000
50100	361000	399000	1.12e+06	1000
50200	362000	399000	1.12e+06	1000
50300	362000	399000	1.12e+06	1000
50400	363000	400000	1.12e+06	1000
50500	363000	400000	1.12e+06	1000
50600	363000	400000	1.12e+06	1000
50700	363000	401000	1.12e+06	1000
50800	363000	401000	1.12e+06	1000
50900	363000	402000	1.12e+06	1000
51000	363000	402000	1.12e+06	1000
51100	363000	402000	1.12e+06	1000
51200	363000	402000	1.12e+06	1000
51300	363000	403000	1.12e+06	1000
51400	363000	403000	1.12e+06	1000
51500	363000	403000	1.12e+06	1000
51600	363000	403000	1.12e+06	1000
51700	363000	404000	1.13e+06	1000
51800	363000	404000	1.13e+06	1000
51900	363000	405000	1.13e+06	1000
52000	363000	405000	1.13e+06	1000
52100	363000	405000	1.13e+06	1000
52200	363000	405000	1.13e+06	1000
52300	364000	406000	1.13e+06	1000
52400	365000	406000	1.13e+06	1000
52500	365000	407000	1.13e+06	1000
52600	365000	407000	1.13e+06	1000
52700	366000	407000	1.13e+06	1000
52800	366000	407000	1.13e+06	1000
52900	366000	408000	1.13e+06	1000
53000	366000	408000	1.13e+06	1000
53100	366000	408000	1.13e+06	1000
53200	368000	410000	1.13e+06	1000
53300	369000	411000	1.13e+06	1000
53400	369000	412000	1.13e+06	1000
53500	370000	413000	1.13e+06	1000
53600	370000	414000	1.13e+06	1000
53700	371000	414000	1.13e+06	1000
53800	371000	414000	1.13e+06	1000
53900	371000	415000	1.13e+06	1000
54000	371000	416000	1.13e+06	1000
54100	371000	417000	1.13e+06	1000
54200	372000	418000	1.13e+06	1000
54300	373000	420000	1.13e+06	1000
54400	374000	424000	1.13e+06	1000
54500	374000	426000	1.13e+06	1000
54600	375000	432000	1.13e+06	1000
54700	375000	440000	1.13e+06	1000
54800	376000	626000	1.13e+06	1000
54900	376000	644000	1.13e+06	1000
55000	377000	667000	1.13e+06	1000
55100	377000	690000	1.13e+06	1000
55200	378000	697000	1.13e+06	1000
55300	378000	703000	1.13e+06	1000
55400	379000	709000	1.13e+06	1000
55500	379000	715000	1.13e+06	1000
55600	379000	718000	1.13e+06	1000
55700	379000	721000	1.13e+06	1000
55800	379000	731000	1.13e+06	1000
55900	379000	733000	1.13e+06	1000
56000	379000	737000	1.13e+06	1000
56100	380000	742000	1.13e+06	1000
56200	380000	743000	1.13e+06	1000
