#Time	LowerQ	Median	UpperQ
0	1	1.17	156
1.02	27900	27900	28000
2470	27900	27900	28000
2480	27900	27900	28000
2560	27900	27900	28000
2650	27900	27900	28000
2660	27900	27900	28000
2750	27900	27900	28000
2760	27900	27900	28000
2860	27900	27900	28000
2870	27900	27900	28000
2970	27900	27900	28000
2980	27900	27900	28000
3090	27900	27900	28600
3100	27900	27900	28600
3220	27900	27900	28700
3230	27900	27900	28700
3360	27900	27900	28700
3370	27900	27900	28700
3510	27900	27900	28700
3520	27900	27900	28800
3670	27900	27900	28800
3680	27900	28000	28800
3840	27900	28000	28800
3850	27900	28600	28800
4020	27900	28700	28800
4030	27900	28700	28800
4040	27900	28700	28900
4230	27900	28700	28900
4240	27900	28700	28900
4450	27900	28700	28900
4460	27900	28700	28900
4690	27900	28800	28900
4700	27900	28800	28900
4960	27900	28800	29000
4970	28000	28800	29000
5250	28600	28800	29000
5260	28600	28800	29000
5270	28600	28800	29000
5580	28600	28800	29000
5590	28600	28800	29000
5950	28600	28800	29000
5960	28600	28800	29000
6360	28600	28800	29000
6370	28600	28800	29000
22100	28600	28800	29000
22200	28600	28800	29000
22300	3590	28800	29000
22400	2270	3730	29000
22500	1830	3590	10100
22600	1780	3590	10000
22700	1890	3600	10100
22800	2210	3660	17900
22900	2720	3920	17900
23000	3380	4800	17900
23100	4070	17700	17900
23200	4860	17700	17900
23300	9840	17700	17900
23400	9920	17700	17900
27400	9920	17700	17900
33000	9930	17700	17900
33100	9930	17700	17900
33200	9930	17700	17900
33300	9930	17700	17900
33500	9930	17700	17900
33600	9950	17700	17900
33700	9970	17700	17900
33800	10000	17700	17900
33900	10100	17700	17900
34000	10200	17700	17900
34100	10300	17700	17900
34200	10500	17700	22800
34300	17600	17700	22800
34400	17600	17700	22800
34500	17600	17700	22800
34600	17600	17700	22800
34700	17600	17700	22800
34800	17600	17700	22800
34900	17600	17700	22800
35000	17600	17700	22800
35100	17600	17700	22800
35200	17600	17700	22800
75900	17600	17700	22800
76000	17600	17700	22800
76100	17600	17700	22800
76200	17600	17700	22800
76300	17600	17700	22800
76400	17600	17700	22800
76500	17600	17700	22800
76800	17600	17700	22800
78900	17600	17700	22800
79000	17600	17700	22800
79100	17600	17700	22800
79200	17600	17700	22800
79300	17600	17700	22800
79400	17600	17700	22800
79500	17600	17700	22800
79600	17600	17700	22800
79700	17600	17700	22800
79800	17600	17700	22800
79900	17600	17700	22800
80000	17600	17700	22800
80100	17600	17700	22800
80200	17600	17700	22800
80300	17600	17700	22800
