#Time	LowerQ	Median	UpperQ
0	871000	1.04e+06	1.23e+06
27.1	871000	1.04e+06	1.23e+06
32.9	871000	1.04e+06	1.23e+06
44.6	871000	1.04e+06	1.23e+06
47.3	871000	1.04e+06	1.23e+06
54.7	871000	1.04e+06	1.23e+06
56.5	871000	1.04e+06	1.23e+06
57.9	871000	1.04e+06	1.23e+06
59	871000	1.04e+06	1.23e+06
60	871000	1.04e+06	1.23e+06
61.2	871000	1.04e+06	1.23e+06
62.2	871000	1.04e+06	1.23e+06
63.2	871000	1.04e+06	1.23e+06
64.3	871000	1.04e+06	1.23e+06
65.3	871000	1.04e+06	1.23e+06
66.4	871000	1.04e+06	1.23e+06
67.4	871000	1.04e+06	1.23e+06
68.4	871000	1.04e+06	1.23e+06
69.4	871000	1.04e+06	1.23e+06
70.4	871000	1.04e+06	1.23e+06
71.4	871000	1.04e+06	1.23e+06
72.4	871000	1.04e+06	1.23e+06
73.4	871000	1.04e+06	1.23e+06
74.4	871000	1.04e+06	1.23e+06
75.4	46500	1.04e+06	1.23e+06
76.4	42700	1.04e+06	1.23e+06
77.4	40900	1.04e+06	1.23e+06
78.4	39900	1.04e+06	1.23e+06
79.4	38900	1.04e+06	1.23e+06
80.4	38000	1.04e+06	1.23e+06
81.4	37400	1.04e+06	1.23e+06
82.4	36800	1.04e+06	1.23e+06
83.4	36300	1.04e+06	1.23e+06
84.4	35800	1.04e+06	1.23e+06
85.4	35200	1.04e+06	1.23e+06
86.4	34700	1.04e+06	1.23e+06
87.4	34200	1.04e+06	1.23e+06
88.4	33700	1.04e+06	1.23e+06
89.4	33300	1.04e+06	1.23e+06
90.4	32900	37800	1.23e+06
91.4	32600	36300	1.23e+06
92.4	32300	35500	1.23e+06
93.4	32000	35100	1.23e+06
94.4	31800	34800	1.23e+06
95.4	31600	34700	1.23e+06
96.4	31400	34600	1.23e+06
97.4	31300	34500	1.23e+06
98.5	31300	34500	1.23e+06
99.6	31200	34500	1.23e+06
101	31200	34500	1.23e+06
102	31100	34500	1.23e+06
103	28600	34200	1.23e+06
104	28400	33900	1.23e+06
105	28300	33600	1.23e+06
106	28200	33500	1.23e+06
107	28100	33500	42900
108	27900	33400	40900
109	27900	33400	40500
110	27800	33400	40300
111	27800	33400	40300
112	27800	33400	40200
113	27700	33400	40100
114	27700	33400	40100
115	27700	33400	40100
116	27700	33400	40100
150	27700	33400	40000
155	27700	33400	40000
174	27700	33400	40000
219	27700	33400	40000
231	27700	33400	40000
236	27700	33400	40000
250	27700	33400	40000
251	27700	33400	40000
278	27700	33400	40000
283	27700	33400	40000
284	27700	33400	40000
295	27700	33400	40000
297	27700	33400	39900
298	27700	33400	39900
299	27700	33400	39900
301	27700	33400	39900
302	27700	33400	39900
303	27700	33400	39900
306	27700	33400	39900
307	27700	33400	39900
309	27700	33400	39900
310	27700	33400	39800
313	27700	33400	39800
314	27700	33400	39800
315	27700	33400	39800
316	27700	33400	39800
317	27700	33400	39800
318	27700	33400	39700
319	27700	33400	39700
320	27700	33400	39700
321	27600	33400	39700
322	27600	33400	39600
323	27600	33400	39600
324	27600	33400	39600
325	27600	33400	39500
326	27600	33400	39500
327	27600	33400	39500
328	27600	33400	39400
329	27600	33400	39400
330	27600	33400	39400
331	27600	33400	39300
332	27600	33400	39300
333	27500	33400	39300
334	27500	33300	39300
335	27500	33300	39200
336	27500	33300	39200
337	27500	33300	39200
338	27500	33300	39100
339	27400	33300	39100
340	27400	33300	39000
341	27400	33300	39000
342	27400	33300	39000
343	27400	33300	38900
344	27300	33300	38900
345	27300	33300	38800
346	27200	33300	38700
347	27100	33300	38700
348	26900	33300	38600
349	26800	33300	38500
350	26600	33300	38500
351	26000	33300	38400
352	25100	33300	38400
353	18400	33300	38300
354	15100	33300	38300
355	14300	33200	38200
356	14000	33200	38200
357	13700	33200	38100
358	13300	33200	38100
359	13000	33200	38000
360	12800	33200	38000
361	12500	33200	37900
362	12300	33200	37900
363	12100	33200	37800
364	11800	33100	37800
365	11500	33100	37700
366	11200	33100	37600
367	11000	33100	37600
368	10700	33100	37500
369	10600	33000	37400
370	10500	33000	37400
371	10300	33000	37300
372	10100	33000	37300
373	9870	33000	37200
374	9460	32900	37100
375	9310	32900	37100
376	9050	32900	37000
377	8770	32900	36900
378	8670	32800	36900
379	8390	32800	36800
380	8230	32800	36700
381	7980	32800	36700
382	7720	32700	36600
383	7510	32700	36600
384	7260	32700	36500
385	7080	32700	36400
386	6780	32600	36400
387	6520	32600	36300
388	6130	32600	36300
389	5370	32500	36200
390	5120	32500	36100
391	4950	32400	36100
392	4770	32400	36000
393	4650	32300	36000
394	4650	32300	36000
395	4500	32200	35900
396	4390	32100	35800
397	4230	32100	35800
398	4080	32000	35700
399	4110	31900	35700
400	4010	31800	35600
401	3880	31700	35500
402	3760	31500	35400
403	3670	31300	35400
404	3610	31100	35400
405	3560	30700	35300
406	3650	29000	35200
407	3660	29000	35100
408	3590	28900	35100
409	3480	28900	35000
410	3350	28900	34900
411	3390	28900	34900
412	3520	28900	34900
413	3520	28900	34900
414	3430	28800	34800
415	3360	28800	34700
416	3220	28800	34600
417	3100	28700	34600
418	3250	28700	34500
419	3370	28700	34400
420	3350	28700	34300
421	3370	28700	34300
422	3180	28700	34300
423	2900	28700	34200
424	2840	28700	34100
425	3100	28700	34100
426	3120	28700	34100
427	3240	28700	34000
428	3140	28700	33900
429	2990	28700	33800
430	2930	28700	33800
431	2820	28700	33800
432	3060	28700	33800
433	3240	28700	33600
434	3250	28700	33500
435	3130	28700	33500
436	3020	28700	33500
437	2820	28700	33400
438	3050	28700	33300
439	3220	28700	33200
440	3360	28800	33200
441	3460	28800	33200
442	3500	28800	33000
443	3470	28800	32900
444	3370	28800	32900
445	3550	28800	32900
446	3730	28800	32800
447	3880	28800	32700
448	3940	28800	32700
449	3990	28800	32600
450	3980	28900	32600
451	4040	28900	32500
452	4110	28900	32400
453	4190	28900	32400
454	4440	28900	32300
455	4590	28900	32300
456	4670	28900	32100
457	4710	28900	32100
458	4770	28900	32000
459	4860	28900	31900
460	5050	28900	31900
461	5270	28900	31800
462	5590	28900	31800
463	5960	28900	31600
464	6120	28900	31500
465	6360	28900	31300
466	6540	28900	31200
467	6780	28900	31100
468	7310	28900	30800
469	7820	28900	30800
470	8200	28900	30500
471	8640	28900	30500
472	9180	28900	30400
473	9270	28900	30400
474	9300	28900	30400
475	9300	28900	30200
476	9880	28900	29900
477	10200	29000	29800
478	10700	29000	29800
479	11000	29000	29700
480	11100	29000	29700
481	11100	29000	29600
482	11300	29000	29400
483	11700	29000	29400
484	12500	29000	29300
485	13000	29000	29300
486	13400	29000	29300
487	13300	29000	29300
488	12900	29000	29300
489	13000	29000	29300
490	13000	29000	29300
491	14100	29000	29300
492	14900	29000	29300
493	14900	29000	29300
494	13400	29000	29200
495	12100	29000	29200
496	11200	29000	29200
497	12500	29000	29200
498	14000	29000	29200
499	14400	29000	29200
500	14900	29000	29200
501	13800	29000	29200
502	10700	29000	29200
503	8690	29000	29200
504	9130	29000	29200
505	10900	29000	29200
506	10700	29000	29200
507	10100	29000	29200
508	9340	29000	29200
509	8310	29000	29200
510	7510	29000	29200
511	8240	29000	29200
512	9130	29000	29200
513	11100	29000	29200
514	11700	29000	29200
515	12500	29000	29200
516	13000	29000	29200
517	11900	29000	29300
518	11900	29000	29200
519	12400	29000	29200
520	12200	29000	29200
521	12500	29000	29200
522	11700	29000	29200
523	13200	29000	29200
524	13300	29000	29200
525	13600	29000	29200
526	14000	29000	29200
527	14100	29000	29200
528	13600	29000	29200
529	14000	29000	29200
530	13000	29000	29200
531	14600	29000	29200
532	15000	29000	29200
533	16700	29000	29200
534	17800	29000	29200
535	17200	29000	29200
536	16700	29000	29200
537	15800	29000	29300
538	16700	29000	29300
539	18000	29000	29300
540	19300	29000	29200
541	21500	29000	29200
542	21800	29000	29200
543	22500	29000	29200
544	21600	29000	29200
545	21000	29000	29300
546	21500	29000	29300
547	22000	29000	29300
548	26900	29000	29300
549	28000	29000	29300
550	28100	29000	29300
551	28100	29000	29300
552	28200	29000	29300
553	28100	29000	29300
554	28100	29000	29300
555	28200	29000	29300
556	28200	29000	29300
557	28300	29000	29300
558	28300	29000	29300
559	28300	29000	29300
560	28300	29000	29300
561	28400	29000	29300
562	28400	29000	29300
563	28400	29000	29300
564	28400	29000	29300
565	28400	29000	29300
566	28400	29000	29300
567	28400	29000	29300
568	28400	29000	29300
569	28400	29000	29300
570	28400	29000	29300
571	28400	29000	29300
572	28400	29000	29300
573	28500	29000	29300
574	28400	29000	29300
575	28400	29000	29300
576	28400	29000	29300
577	28500	29000	29300
578	28500	29000	29300
579	28500	29000	29300
580	28500	29000	29300
581	28500	29000	29300
582	28500	29000	29300
583	28500	29000	29300
584	28500	29000	29300
585	28500	29000	29300
586	28500	29000	29300
587	28500	29000	29300
588	28500	29000	29300
589	28500	29000	29300
590	28500	29000	29300
592	28500	29000	29300
593	28500	29000	29300
594	28500	29000	29300
595	28500	29000	29300
596	28500	29000	29300
597	28500	29000	29300
598	28500	29000	29300
599	28500	29000	29300
600	28500	29000	29200
601	28500	29000	29200
603	28500	29000	29200
604	28500	29000	29200
606	28500	29000	29200
607	28500	29000	29200
608	28500	29000	29200
609	28500	29000	29200
612	28500	29000	29200
613	28500	29000	29200
614	28500	29000	29200
616	28500	29000	29200
617	28500	29000	29200
618	28500	29000	29200
619	28500	29000	29200
620	28500	29000	29200
621	28500	29000	29200
622	28500	29000	29200
623	28500	29000	29200
624	28500	29000	29200
625	28500	29000	29200
627	28500	29000	29200
631	28500	29000	29200
634	28500	29000	29200
635	28500	29000	29200
638	28500	29000	29200
640	28500	29000	29200
641	28500	29000	29200
642	28500	29000	29200
643	28500	29000	29200
644	28500	29000	29200
645	28500	29000	29200
646	28500	29000	29200
647	28500	29000	29200
649	28500	29000	29200
650	28600	29000	29200
652	28600	29000	29200
653	28600	29000	29200
656	28600	29000	29200
659	28600	29000	29200
660	28600	29000	29200
663	28600	29000	29200
664	28600	29000	29200
665	28600	29000	29200
667	28600	29000	29200
670	28600	29000	29200
671	28600	29000	29200
678	28600	29000	29200
679	28600	29000	29200
681	28600	29000	29200
682	28600	29000	29200
684	28600	29000	29200
686	28600	29000	29200
688	28600	29000	29200
691	28600	29000	29200
705	28600	29000	29200
710	28600	29000	29200
715	28600	29000	29200
723	28600	29000	29200
725	28600	29000	29200
726	28600	29000	29200
728	28600	29000	29200
730	28600	29000	29200
740	28600	29000	29200
742	28600	29000	29200
747	28600	29000	29200
754	28600	29000	29200
760	28600	29000	29200
761	28600	29000	29200
766	28600	29000	29200
769	28600	29000	29300
771	28600	29000	29300
773	28600	29000	29300
789	28600	29000	29300
804	28600	29000	29300
806	28600	29000	29300
808	28600	29000	29300
811	28600	29000	29300
816	28600	29000	29200
818	28600	29000	29200
821	28600	29000	29200
832	28600	29000	29200
838	28600	29000	29200
840	28600	29000	29200
844	28600	29000	29200
845	28600	29000	29200
846	28600	29000	29200
851	28600	29000	29200
858	28600	29000	29200
870	28600	29000	29200
892	28600	29000	29200
908	28600	29000	29200
916	28600	29000	29200
920	28600	29000	29200
925	28600	29000	29200
928	28600	29000	29200
930	28600	29000	29200
939	28600	29000	29200
958	28600	29000	29200
959	28600	29000	29200
962	28600	29000	29200
966	28600	29000	29200
971	28600	29000	29200
977	28600	29000	29200
999	28600	29000	29200
1000	28600	29000	29200
1010	28600	29000	29200
1020	28600	29000	29200
1030	28600	29000	29200
1050	28600	29000	29200
1070	28600	29000	29200
1080	28600	29000	29200
1090	28600	29000	29200
1110	28600	29000	29200
1120	28600	29000	29200
1140	28600	29000	29200
1150	28600	29000	29200
1160	28600	29000	29200
1180	28600	29000	29200
1190	28600	29000	29200
1230	28600	29000	29200
1260	28600	29000	29200
1300	28600	29000	29200
1310	28600	29000	29200
1330	28600	29000	29200
1360	28600	29000	29200
1370	28600	29000	29200
1380	28600	29000	29200
1400	28600	29000	29200
1410	28600	29000	29200
1440	28600	29000	29200
1450	28600	29000	29200
1460	28600	29000	29200
1470	28600	29000	29200
1500	28600	29000	29200
1520	28500	29000	29200
1550	28500	29000	29200
1560	28500	29000	29200
1580	28500	29000	29200
1590	28500	29000	29200
1610	28500	29000	29200
1650	28500	29000	29200
1660	28500	29000	29200
1680	28500	29000	29200
1730	28500	29000	29200
1810	28500	29000	29200
1830	28500	29000	29200
1910	28500	29000	29200
1960	28500	29000	29200
1970	28500	29000	29200
2070	28500	29000	29200
2120	28500	29000	29200
2130	28500	29000	29200
2200	28500	29000	29200
2690	28500	29000	29200
2950	28500	29000	29200
3050	28500	29000	29200
3170	28500	29000	29200
3430	28500	29000	29200
3560	28500	29000	29200
3570	28500	29000	29200
3580	28500	29000	29200
3690	28500	29000	29200
3720	28500	29000	29200
3730	28500	29000	29200
3800	28500	29000	29200
3840	28500	29000	29200
3880	28500	29000	29200
3890	28500	29000	29200
3900	28500	29000	29200
3950	28500	29000	29200
4010	28500	29000	29200
4020	28500	29000	29200
4060	28500	29000	29200
4070	28500	29000	29300
4080	28500	29000	29300
4130	28500	29000	29300
4150	28500	29000	29300
4200	28500	29000	29300
4210	28500	29000	29300
4220	28500	29000	29300
4250	28500	29000	29300
4260	28500	29000	29300
4270	28500	29000	29300
4280	28500	29000	29300
4300	28500	29000	29300
4350	28600	29000	29300
4410	28600	29000	29300
4420	28600	29000	29300
4430	28600	29000	29300
4450	28600	29000	29300
4460	28600	29000	29300
4470	28600	29000	29300
4480	28600	29000	29300
4490	28600	29000	29400
4540	28600	29000	29400
4570	28600	29000	29500
4610	28600	29000	29500
4640	28600	29000	29500
4650	28600	29000	29800
4660	28600	29000	30100
4670	28600	29000	30100
4680	28600	29000	30100
4690	28600	29000	30200
4700	28600	29000	30400
4710	28600	29000	30600
4780	28600	29000	30700
4790	28600	29000	30700
4800	28600	29000	30700
4810	28600	29000	30700
4820	28600	29000	30700
4830	28600	29000	30700
4840	28600	29000	30700
4850	28600	29000	30700
4860	28600	29000	30700
4890	28600	29000	30700
4900	28600	29000	30700
4910	28600	29000	30700
4920	28600	29000	30700
4930	28600	29000	30700
4940	28600	29000	30800
4950	28600	29000	30900
4960	28600	29000	31100
4970	28600	29000	31100
5010	28600	29000	31100
5020	28600	29000	31100
5050	28600	29000	31100
5060	28600	29000	31100
5070	28600	29000	31200
5080	28600	29000	31200
5090	28600	29000	31200
5100	28600	29000	31200
5130	28600	29000	31200
5140	28600	29000	31200
5150	28600	29000	31200
5160	28600	29000	31200
5170	28600	29000	31200
5190	28600	29000	31200
5200	28600	29000	31300
5210	28600	29000	31300
5220	28600	29000	31400
5230	28600	29000	31600
5240	28600	29000	31800
5300	28600	29000	31800
5330	28600	29000	31800
5350	28600	29000	31800
5380	28600	29000	31800
5390	28600	29000	31800
5400	28600	29000	31900
5420	28600	29000	31900
5430	28600	29000	31900
5440	28600	29000	31900
5460	28600	29000	31900
5470	28600	29000	31900
5480	28600	29000	32000
5500	28600	29000	32000
5510	28600	29000	32000
5520	28700	29000	32200
5530	28700	29000	32400
5540	28700	29000	32600
5550	28700	29000	32700
5650	28700	29000	32700
5680	28700	29000	32700
5710	28700	29000	32700
5730	28700	29000	32700
5750	28700	29000	32700
5760	28700	29000	32700
5770	28700	29000	32700
5780	28700	29000	32700
5790	28700	29000	32700
5800	28700	29000	32800
5810	28700	29000	32800
5820	28700	29000	32800
5830	28700	29000	32900
5840	28700	29000	32900
5850	28700	29000	33000
5860	28700	29000	33200
5870	28700	29000	33700
5880	28700	29000	33800
5890	28700	29000	33800
6000	28700	29000	33800
6030	28700	29000	33800
6070	28700	29000	33800
6080	28700	29000	33900
6110	28700	29000	33900
6120	28700	29000	33900
6130	28700	29000	33900
6140	28700	29000	33900
6150	28700	29000	33900
6170	28700	29000	33900
6180	28700	29000	34000
6190	28700	29000	34000
6210	28700	29000	34100
6220	28700	29000	34100
6230	28700	29000	34200
6240	28700	29000	34600
6250	28700	29000	35000
6260	28700	29000	35300
6270	28700	29000	35300
6460	28700	29000	35300
6490	28700	29000	35300
6530	28700	29000	35300
6550	28700	29000	35300
6560	28700	29000	35300
6570	28700	29000	35400
6590	28700	29000	35400
6600	28700	29000	35400
6610	28700	29000	35500
6620	28700	29000	35500
6630	28700	29000	35600
6640	28700	29000	35600
6650	28700	29000	36000
6660	28700	29000	36400
6670	28700	29000	36900
6680	28700	29000	37400
6690	28700	29000	37500
6700	28700	29000	37700
6930	28700	29000	37700
6950	28700	29000	37700
6970	28700	29000	37700
7050	28700	29000	37700
7070	28700	29000	37700
7080	28700	29000	37700
7090	28700	29000	37700
7100	28700	29000	37800
7110	28700	29000	37800
7120	28700	29000	37900
7130	28700	29000	38300
7140	28800	29100	38700
7150	28800	29100	39900
7160	28800	29100	41300
7170	28800	29100	41900
7180	28800	29100	42100
7190	28800	29100	42100
7210	28800	29100	42100
7590	28800	29100	42200
7600	28800	29100	42200
7610	28800	29100	42200
7620	28800	29100	42200
7630	28800	29100	42300
