#Time	LowerQ	Median	UpperQ
0	1	10000	83900
1.04	639	10100	84300
2.08	917	10100	85400
3.22	1270	10100	85400
4.47	1510	10100	85400
6.09	1680	10100	85400
7.72	1720	10100	85400
8.91	2040	10100	85400
10.2	2320	10100	85400
11.8	2400	10100	85400
13	2550	10100	85400
14	2670	10100	85400
15.4	2730	10100	85400
17.3	2890	10100	85400
18.9	3050	10100	85400
22.1	3060	10100	85400
23.4	3550	10100	85400
24.9	3770	10100	85400
27.5	3880	10100	85400
29	4200	10100	85400
30.3	4610	10100	85400
31.3	4640	10100	85400
33.8	4870	10100	85400
35	5860	10200	85400
36.5	6150	10200	85400
40	6890	10200	85400
42	7220	10200	85400
43	7350	10200	85400
44.2	7670	10200	85400
54.9	7800	10200	85400
64.3	7890	10200	85400
69.6	8020	10200	85400
89.1	8040	10200	85400
90.4	8080	10200	85400
91.4	8080	10200	85400
94.1	8180	10200	85400
95.4	8180	10200	85400
96.8	8200	10200	85400
99.5	8200	10200	85400
101	8200	10200	85400
102	8200	10200	85400
103	8200	10100	85400
104	8200	10100	85400
105	8200	10100	85400
106	8200	10100	85400
107	8240	10100	85400
108	8240	10100	85400
110	8240	10100	85400
111	8200	10100	85400
112	8200	10100	85400
114	8200	10100	85400
115	8200	10100	85400
116	8200	10100	85400
117	8200	10100	85400
119	8200	10100	85400
120	8240	10100	85400
121	8380	10100	85400
123	8380	10100	85400
124	8420	10100	85400
125	8420	10100	85400
126	8420	10100	85400
127	8450	10100	85400
128	8450	10100	85400
132	8450	10100	85400
134	8450	10100	85400
135	8450	10100	85400
136	8450	10100	85400
137	8450	10100	85400
138	8450	10100	85400
141	8450	10100	85400
142	8450	10100	85400
143	8450	10100	85400
147	8450	10100	85400
149	8450	10100	85400
151	8450	10100	85400
152	8450	10100	85400
154	8430	10100	85400
156	8430	10100	85400
158	8430	10100	85400
162	8430	10100	85400
165	8450	10100	85400
172	8450	10100	85400
174	8450	10100	85400
175	8450	10100	85400
177	8430	10100	85400
178	8430	10100	85400
179	8430	10100	85400
184	8430	10100	85400
187	8450	10100	85400
190	8430	10100	85400
191	8430	10100	85400
192	8430	10100	85400
194	8420	10100	85400
198	8420	10100	85400
199	8420	10100	85400
200	8380	10100	85400
202	8380	10100	85400
205	8380	10100	85400
207	8420	10100	85400
210	8420	10100	85400
212	8430	10100	85400
214	8430	10100	85400
219	8420	10100	85400
221	8430	10100	85400
223	8420	10100	85400
226	8380	10100	85400
230	8260	10100	85400
235	8260	10100	85400
237	8260	10100	85400
246	8350	10100	85400
248	8350	10100	85400
249	8350	10100	85400
255	8380	10100	85400
261	8260	10100	85400
263	8260	10100	85400
265	8240	10100	85400
266	8240	10100	85400
273	8200	10100	85400
274	8200	10100	85400
276	8180	10100	85400
279	8180	10100	85400
289	8180	10100	85400
293	8120	10100	85400
295	8080	10100	85400
298	8120	10100	85400
300	8120	10100	85400
302	8120	10100	85400
308	8080	10100	85400
315	8080	10100	85400
320	8080	10100	85400
321	8040	10100	85400
328	8040	10100	85400
330	8040	10100	85400
341	8030	10100	85400
342	8020	10100	85400
343	8020	10100	85400
346	8020	10100	85400
351	7900	10100	85400
354	7880	10100	85400
357	7830	10100	85400
359	7800	10100	85400
360	7720	10100	85400
361	7710	10100	85400
366	7720	10100	85400
372	7720	10100	85400
379	7800	10100	85400
386	7720	10100	85400
388	7710	10100	85400
389	7710	10100	85400
393	7720	10100	85400
397	7710	10100	54400
398	7710	10100	54400
401	7710	10100	54400
403	7720	10100	54400
405	7720	10100	34400
408	7710	10100	26700
409	7720	10100	26700
411	7720	10100	26700
414	7710	10000	26600
419	7350	10000	19600
420	7710	10000	19600
425	7350	10000	18500
428	7330	10000	16600
430	7330	10000	16600
434	7220	10000	16200
436	7030	10000	15100
437	6720	10000	14900
442	6630	10000	14600
443	6510	10000	14300
444	6080	10000	14100
446	5610	10000	13900
452	5610	10000	13900
458	6080	10000	13900
465	5610	10000	13700
466	5610	10000	13500
469	6080	10000	13500
470	5610	10000	13500
471	6340	10000	13500
480	5610	10000	13400
481	6340	10000	13500
482	6340	10000	13500
484	5610	10000	13400
487	6340	10000	13400
488	6510	10000	13400
493	6630	10000	13400
497	6720	10000	13400
503	7030	10000	13400
507	7030	10000	13400
509	7190	10000	13400
523	7330	10000	13400
532	7330	10000	13500
535	7350	10000	13700
540	7350	10000	13700
541	7350	10000	13500
543	7710	10000	13500
545	7720	10000	13500
546	7720	10000	13500
547	7710	10000	13200
550	7710	10000	13200
552	7350	10000	13200
555	7710	10000	13200
556	7710	10000	13100
563	7720	10000	13100
579	7720	10000	13000
587	7830	10000	13000
600	7830	10000	13000
610	7880	10000	13000
612	7880	10000	13000
614	7900	10000	13000
661	8020	10000	13000
664	8020	10000	13000
667	8030	10000	13000
677	8030	10000	13000
682	8040	10000	13000
687	8030	10000	13000
695	8040	10000	13100
696	8040	10000	13100
699	8040	10000	13100
702	8040	10000	13100
720	8040	10000	13100
736	8040	10000	13100
743	8030	10000	13100
748	8030	10000	13100
749	8030	10000	13100
768	8030	10000	13100
776	8030	10000	13100
783	8030	10000	13100
785	8030	10000	13200
786	8030	10000	13200
796	8030	10000	13100
799	8030	10000	13100
806	8030	10000	13100
820	8030	10000	13000
822	8030	10000	13000
826	8040	10000	13000
840	8040	10000	13000
855	8040	10000	13000
863	8040	10000	13000
864	8080	10000	13000
866	8080	10000	13000
868	8120	10000	13100
876	8260	10000	13100
883	8350	10000	13100
889	8350	10000	13100
894	8350	10000	13100
901	8350	10000	13100
907	8350	10000	13100
908	8350	10000	13100
940	8350	10000	13100
947	8350	10000	13100
956	8350	10000	13200
979	8350	10000	13200
984	8400	10000	13200
994	8430	10000	13200
997	8430	10000	13200
1000	8430	10000	13200
1050	8400	10000	13200
1060	8430	10000	13200
1070	8430	10000	13200
1080	8400	10000	13200
1090	8400	10000	13200
1120	8400	10000	12800
1130	8430	10000	13100
1140	8400	10000	12800
1150	8400	10000	12800
1160	8400	10000	12800
1180	8430	10000	12800
1210	8470	10000	12800
1220	8470	10000	12500
1230	8450	10000	12500
1250	8450	10000	12300
1270	8450	10000	12300
1280	8350	10000	12200
1300	8350	10000	12200
1310	8400	10000	12300
1320	8400	10000	12300
1350	8350	10000	12300
1360	8350	10000	12300
1370	8350	10000	12300
1380	8350	10000	12300
1390	8350	10000	12300
1420	8350	10000	12300
1430	8350	10000	12300
1460	8350	10000	12300
1480	8350	10000	12300
1490	8350	10000	12300
1500	8350	10000	12300
1510	8350	10000	12300
1530	8350	10000	12300
1540	8350	10000	12200
1560	8400	10000	12200
1590	8350	10000	12200
1600	8400	10000	12200
1610	8350	10000	12200
1620	8400	10000	12200
1630	8430	10000	12200
1640	8430	10000	12200
1650	8430	10000	12200
1660	8430	10000	12200
1670	8450	10000	12200
1700	8450	10000	12200
1710	8450	10000	12200
1720	8450	10000	12200
1730	8450	10000	12200
1750	8450	10000	12100
1760	8450	10000	12100
1780	8470	10000	12100
1790	8470	10000	12100
1800	8470	10000	12100
1810	8490	10000	12100
1830	8490	10000	12100
1840	8490	10000	12100
1850	8490	10000	12100
1860	8510	10000	12100
1870	8510	10000	12100
1880	8510	10000	12100
1900	8510	10000	12100
1910	8510	10000	12100
1920	8510	10000	12100
1940	8510	10000	12200
1960	8490	10000	12200
2000	8470	10000	12200
2020	8450	10000	12200
2040	8450	10000	12200
2050	8470	10000	12300
2060	8470	10000	12300
2080	8490	10000	12300
2110	8490	10000	12300
2130	8510	10000	12500
2140	8510	10000	12500
2160	8510	10000	12300
2180	8510	10000	12300
2190	8600	10000	12300
2200	8600	10000	12300
2230	8600	10000	12200
2250	8600	10000	12200
2280	8510	10000	12200
2340	8600	10000	12200
2380	8620	10000	12200
2410	8620	10000	12200
2440	8600	10000	12200
2450	8600	10000	12200
2470	8490	10000	12100
2480	8510	10000	12100
2550	8510	10000	12100
2560	8490	10000	12100
2590	8470	10000	12100
2600	8470	10000	12100
2610	8490	10000	12100
2640	8510	10000	12200
2650	8510	10000	12200
2660	8510	10000	12200
2690	8580	10000	12200
2710	8580	10000	12200
2730	8510	10000	12200
2740	8510	10000	12200
2750	8490	10000	12200
2760	8490	10000	12200
2780	8490	10000	12200
2790	8510	10000	12200
2800	8510	10000	12200
2830	8580	10000	12200
2870	8580	10000	12200
2880	8510	10000	12100
2890	8510	10000	12100
2960	8580	10000	12200
3000	8600	10000	12200
3010	8580	10000	12200
3030	8600	10000	12200
3040	8620	10000	12200
3050	8620	10000	12200
3060	8620	10000	12200
3120	8600	10000	12200
3200	8600	10000	12100
3210	8600	10000	12100
3230	8600	10000	12100
3240	8600	10000	12100
3250	8600	10000	12100
3270	8600	10000	12100
3290	8660	10000	12100
3340	8660	10000	12100
3350	8660	10000	12100
3400	8620	10000	12100
3420	8620	10000	12200
3430	8660	10000	12200
3450	8660	10000	12200
3500	8620	10000	12200
3520	8620	10000	12200
3540	8600	10000	12200
3550	8600	10000	12200
3580	8580	10000	12200
3590	8580	10000	12200
3610	8510	10000	12200
3710	8510	10000	12300
3730	8510	10000	12300
3770	8510	10000	12300
3800	8510	10000	12300
3830	8510	10000	12300
3890	8510	10000	12300
3910	8510	10000	12300
3940	8580	10000	12300
3950	8600	10000	12300
3960	8620	10000	12300
3990	8620	10000	12300
4070	8660	10000	12300
4130	8660	10000	12300
4160	8660	10000	12300
4170	8660	10000	12300
4180	8660	10000	12300
4200	8660	10000	12300
4210	8660	10000	12300
4220	8680	10000	12400
4260	8680	10000	12400
4290	8680	10000	12400
4310	8680	10000	12400
4330	8620	10000	12700
4340	8580	10000	12700
4380	8580	10000	12700
4440	8580	10000	12800
4480	8620	10100	13000
4490	8620	10000	13000
4530	8660	10100	13000
4540	8660	10000	13000
4560	8660	10000	13000
4590	8660	10000	13000
4600	8660	10000	13000
4650	8660	10000	12800
4660	8620	10000	12800
4680	8620	10000	12800
4700	8620	10000	12800
4750	8620	10000	12800
4780	8620	10000	12800
4800	8620	10000	12800
4820	8680	10000	13000
4840	8680	10000	13000
4850	8680	10000	13000
4860	8700	10000	13100
4870	8700	10000	13000
4880	8700	10000	13000
4890	8700	10000	13100
4920	8700	10000	13100
4960	8700	10000	13100
5000	8700	10000	13100
5060	8750	10000	13200
5090	8750	10000	13200
5140	8770	10100	13200
5160	8790	10100	13200
5200	8790	10100	13200
5210	8770	10100	13200
5240	8770	10100	13200
5260	8750	10100	13200
5330	8750	10100	13200
5340	8750	10100	13200
5370	8750	10100	13200
5380	8750	10100	13200
5420	8750	10100	13200
5480	8750	10100	13200
5500	8750	10100	13200
5510	8750	10100	13200
5530	8750	10100	13200
5540	8770	10100	13300
5550	8770	10100	13300
5610	8770	10000	13300
5650	8770	10000	13300
5680	8770	10000	13300
5730	8770	10000	13400
5740	8790	10000	13400
5790	8770	10000	13300
5810	8790	10000	13300
5840	8790	10000	13300
5850	8790	10000	13300
5860	8800	10000	13400
5930	8790	10000	13300
5960	8800	10000	13300
5970	8800	10100	13300
6020	8800	10100	13300
6050	8800	10100	13300
6130	8800	10100	13300
6140	8800	10100	13300
6200	8800	10100	13300
6250	8800	10100	13300
6270	8800	10100	13300
6310	8800	10100	13300
6340	8790	10100	13200
6350	8790	10100	13300
6370	8790	10100	13300
6380	8790	10100	13300
6440	8790	10100	13300
6470	8790	10100	13300
6490	8790	10100	13300
6500	8790	10100	13200
6530	8790	10100	13200
6660	8790	10100	13200
6710	8790	10100	13300
6740	8790	10100	13300
6780	8790	10100	13300
6820	8790	10100	13300
6830	8790	10100	13300
6870	8790	10100	13300
6920	8790	10100	13300
6950	8790	10100	13300
6960	8790	10100	13300
6970	8790	10100	13300
7020	8770	10100	13300
7050	8770	10100	13300
7070	8770	10100	13300
7160	8770	10000	13500
7190	8770	10000	13500
7250	8700	10000	13300
7360	8700	10000	13300
7380	8700	10000	13300
7410	8770	10000	13500
7450	8790	10000	13500
7520	8770	10000	13300
